index,common.name,Citation,occurrence,total.sample.size,ocean,years,year.start,year.end,decade min,decade max,decade medium,IUCN.red.list..search.paper.clasifying.ocean.,species,Latitude..degrees.final.,Longitud..degrees.final.
1,Band-rumped Storm petrel,"(R. A. Costa et al., 2020)",0,2,Natl,15.00821918,Jan-75,Dec-89,70,80,80,lc,"Hydrobates castro (del Hoyo and Collar 2014)/Oceanodroma castro (Harcourt, 1851)",39.45833333,-10.19861111
2,Bottlenose dolphin ,"(Adimey et al., 2014)",132,2413,Natl,13.00547945,Jan-97,Dec-09,90,100,100,lc,"Tursiops truncatus (Montagu, 1821)",27.46861111,-93.89916667
3,Bottlenose dolphin ,"(Byrd et al., 2014)",2,1058,Natl,12.00547945,Jan-97,Dec-08,90,100,100,lc,"Tursiops truncatus (Montagu, 1821)",34.91583333,-75.94166667
4,Bottlenose dolphin ,"(Lusher et al., 2018)",3,150,Natl,26.01369863,Jan-90,Dec-15,90,110,100,lc,"Tursiops truncatus (Montagu, 1821)",52.505,-10.81777778
5,Bottlenose dolphin ,"(Mcfee & Hopkins-Murphy, 2002)",16,153,Natl,5.002739726,Jan-92,Dec-96,90,90,90,lc,"Tursiops truncatus (Montagu, 1821)",32.8875,-79.28166667
6,Brown booby  ,"(Dobbs, 2005)",3,66,Spac,10.00273973,Jan-78,Dec-87,70,80,80,lc,"Sula leucogaster (Boddaert, 1783)",-13.59805556,146.085
7,dusky shark ,"(Cliff et al., 2002)",27,5736,Ind,23.01369863,Jan-78,31/12/2000,70,100,80,en,"Carcharhinus obscurus (Lesueur, 1818)",-30,31
8,dusky shark ,"(Stevens, 1984)",1,16,Spac,4,Jan-79,Dec-82,70,80,80,en,"Carcharhinus obscurus (Lesueur, 1818)",-33.72444444,151.9088889
9,Gervais' beaked whale ,"(Byrd et al., 2014)",0,13,Natl,12.00547945,Jan-97,Dec-08,90,100,100,lc,"Mesoplodon europaeus (Gervais, 1855)",34.91583333,-75.94166667
10,Green turtle,"(Barrios-Garrido et al., 2019)",1,55,Natl,1,Jan-11,Jan-12,110,110,110,en,"Chelonia mydas (Linnaeus, 1758)",10.9875,-71.53777778
11,Green turtle,"(Boulon, 2000)",16,79,Natl,16.00821918,Jan-82,Dec-97,80,90,90,en,"Chelonia mydas (Linnaeus, 1758)",17.85944444,-64.71972222
