index,common.name,Citation,occurrence,total.sample.size,ocean,years,year.start.x,year.end.x,decade max,decamde min,decade middle,IUCN.red.list..search.paper.clasifying.ocean.,species,Latitude..decimal.final.,Longitud..degrees.final.
242,Yellowfin tuna ,"(Varghese et al., 2014)",0,406,Ind,4,2006,2009,100,100,100,lc,Thunnus albacares,15,71
222,Tiger sharks ,"(Lowe et al., 1996)",7,281,Npac,2.002739726,01/06/1967,01/06/1969,60,60,60,nt,"Galeocerdo cuvier (Péron & LeSueur, 1822)",21.93194444,-160.2011111
157,Leatherback turtle ,"(J. C. den Hartog & van Nierop, 1984)",3,6,Natl,13.00821918,04/08/1968,04/08/1981,60,80,70,vu,"Dermochelys coriacea (Vandelli, 1761)",51.24666667,1.688055556
98,Green turtle,"(Quiñones et al., 2010)",80,192,Spac,19.0109589,01/01/1970,31/12/1988,70,80,70,en,"Chelonia mydas (Linnaeus, 1758)",-13.73111111,-76.22527778
118,Hawksbill turtle ,"(Carr & Stancyk, 1975)",4,29,Natl,3.254794521,01/07/1970,01/10/1973,70,70,70,cr,"Eretmochelys imbricata (Linneaus, 1766)",10.54555556,-83.50111111
151,Leatherback turtle ,"(Duguy et al., 1980)",5,12,Natl,5.750684932,01/01/1974,01/10/1979,70,70,70,vu,"Dermochelys coriacea (Vandelli, 1761)",46.19388889,-1.528888889
11,Band-rumped Storm petrel,"(Moser & Lee, 1992)",0,4,Natl,15.00821918,01/01/1975,31/12/1989,70,80,80,lc,"Hydrobates castro (del Hoyo and Collar 2014)/Oceanodroma castro (Harcourt, 1851)",34.91583333,-75.94166667
42,Brown noddy ,"(Moser & Lee, 1992)",0,2,Natl,15.00821918,01/01/1975,31/12/1989,70,80,80,lc,"Anous stolidus (Linnaeus, 1758)",34.91583333,-75.94166667
103,Green turtle,"(Russell et al., 2011)",32,2471,Npac,36.02191781,01/01/1975,31/12/2010,70,110,90,en,"Chelonia mydas (Linnaeus, 1758)",21.43888889,-158.2
139,Leach’s strom petrel ,"(Moser & Lee, 1992)",3,8,Natl,15.00821918,01/01/1975,31/12/1989,70,80,80,vu,"Hydrobates leucorhoa (del Hoyo and Collar 2014)/Oceanodroma leucorhoa (Vieillot, 1818)",34.91583333,-75.94166667
189,Red-billed tropic bird,"(Moser & Lee, 1992)",0,3,Natl,15.00821918,01/01/1975,31/12/1989,70,80,80,lc,"Phaethon aethereus (Linnaeus, 1758)",34.91583333,-75.94166667
199,Sooty tern (aka Wideawake tern),"(Moser & Lee, 1992)",0,12,Natl,15.00821918,01/01/1975,31/12/1989,70,80,80,lc,"Onychoprion fuscatus (Linnaeus, 1766)",34.91583333,-75.94166667
25,Blue shark ,"(Tricas, 1978)",1,81,Npac,1.002739726,01/03/1975,01/03/1976,70,70,70,nt,"Prionace glauca (Linnaeus, 1758)",33.44333333,-118.4952778
88,Green turtle,"(Meylan, 1978)",4,11,Natl,1.169863014,01/07/1976,01/09/1977,70,70,70,en,"Chelonia mydas (Linnaeus, 1758)",10.54555556,-83.50111111
150,Leatherback turtle ,"(Duguy et al., 1980)",1,3,Natl,1,01/01/1977,01/01/1978,70,70,70,vu,"Dermochelys coriacea (Vandelli, 1761)",45.83555556,-2.504166667
46,dusky shark ,"(Cliff et al., 2002)",4,2741,Ind,23.01369863,Jan-78,31/12/2000,70,100,90,en,"Carcharhinus obscurus (Lesueur, 1818)",-30,31
104,Green turtle,"(S. S. Sadove & Morreale, 1990)",1,4,Natl,11.00547945,01/01/1978,31/12/1988,70,80,80,en,"Chelonia mydas (Linnaeus, 1758)",40.19805556,-73.27638889
